News,predictions
ബിജെപി മാർച് മുറിച്ചുകടക്കാൻ ശ്രമിച്ച സ്ത്രീയെ പ്രവർത്തകർ ചവിട്ടി വീഴ്ത്തി,0
കടയിരിപ്പ് ഹയര്‍സെക്കന്ററി സ്‌കൂള്‍ മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസ നിധിയിലേക്ക് നല്‍കിയ പണത്തിന്റെ ഒരുഭാഗം പാര്‍ട്ടിഫണ്ടിലേക്ക് മാറ്റി,0
അമ്മയുടെ മൃതദേഹത്തിൽ നിന്നും വിരലടയാളം എടുക്കുന്ന മക്കൾ ,1
മുംബൈയിലെ ഫ്‌ളാറ്റില്‍ കണ്ടെത്തിയ ആശ സാഹ്നിയെന്ന വൃദ്ധയുടെ അസ്ഥികൂടം. വിദേശത്തായിരുന്ന മകന്‍ തിരികെയെത്തിയപ്പോഴാണ് അമ്മ മരിച്ച വിവരം പുറംലോകമറിയുന്നത്.,0
ചെന്നൈ മറീന ബീച്ചില്‍ വെള്ളം കയറിയ നിലയില്‍,1
മഴ കാരണം വെള്ളം കയറിയ റോഡിലൂടെ വഞ്ചി തുഴഞ്ഞുപോകുന്ന ആളുടെ ചിത്രം.,2
അതിർത്തിയിൽ നിന്നും ഇന്ത്യയുടെയും ചൈനയുടെയും സൈനികർ പിൻവാങ്ങുന്നതിന് മുമ്പ് ജയ് ശ്രീ രാം വിളിക്കുന്ന വീഡിയോ.,0
ഇസ്രയേലില്‍ നടന്ന പലസ്തീന്‍ അനുകൂല റാലിയില്‍ ഇന്ത്യാ വിരുദ്ധ മുദ്രാവാക്യം വിളികള്‍ക്ക് മറുപടിയായി ജയ്ശ്രീറാം വിളിക്കുന്നു.,0
ഭാരത് ജോഡോ യാത്രയ്ക്ക് ആശംസ അര്‍പ്പിച്ച് കവി മുരുകന്‍ കാട്ടാക്കട രചിച്ച ഗാനം.,3
"ദാരിദ്ര്യത്തില്‍ ഇന്ത്യ സൊമാലിയയേക്കാള്‍ പിന്നിലായിപ്പോയി, ഇതിന് ഉത്തരവാദി കേന്ദ്രം ഭരിക്കുന്ന ബിജെപി സര്‍ക്കാരാണ്.",2
അമ്മ മൊബൈല്‍ ഫോണ്‍ എടുത്ത് മാറ്റയതിന് 12 വയസുള്ള മകന്‍ വീട് തല്ലി തകര്‍ത്തു,4
പിറന്നാള്‍ ആഘോഷത്തിന് ദുബായില്‍ കൊണ്ടുപോവാത്ത ഭര്‍ത്താവിനെ ഇടിച്ചുകൊന്ന് ഭാര്യ.,0
ചിരഞ്ജീവിയുടെ കൂടെ 50 വയസിന് താഴെയുള്ള സ്ത്രി ശബരിമല ദർശനം നടത്തി,3
പട്ടിണി നിർമ്മാർജ്ജനം കേന്ദ്ര സർക്കാർ കേരളത്തെ മാതൃകയാക്കണം എന്ന് സുപ്രീം കോടതി,4
ഹിന്ദിയെയും സംസ്‌കൃതത്തെയും പരിഗണിക്കാതെ കേരള സർക്കാർ അറബി ഭാഷയെ പ്രോത്സാഹിപ്പിക്കുന്നു.,4
തൃശൂർ പൂരത്തിനു അനുമതി കൊടുക്കാത്ത സംസ്‌ഥാന സർക്കാർ മുസ്ലിം സമുദായത്തിന് ഇഫ്‌താർ വിരുന്ന് നടത്താൻ അനുമതി നൽകി,4
UN രക്ഷാ സമിതി യോഗത്തിൽ അധ്യക്ഷനാവുന്ന ആദ്യ നേതാവ് മോദി,0
കോവിഡ് വന്നിട്ടുള്ളവര്‍ അപകടത്തില്‍ മരിച്ചാലും കോവിഡ് പട്ടികയില്‍ ഉള്‍പ്പെടുത്തണമെന്ന് പ്രതിപക്ഷ നേതാവ് വി.ഡി സതീശന്‍,2
കോണ്‍ഗ്രസിനെ ലീഗിന്റെ തടവറയില്‍ നിന്ന് രക്ഷിക്കുമെന്ന് പ്രതിപക്ഷ നേതാവ് വി.ഡി.സതീശന്‍,2
മോദി സർക്കാർ നിർമ്മിച്ച പുതിയ പാലം തകർന്നു.,1
അരവിന്ദ് കെജ്രിവാളിന് ജാമ്യം അനുവദിച്ചതില്‍ ആഘോഷിക്കാന്‍ കാനഡയില്‍ സിഖുകാര്‍ 'മോദി വിരുദ്ധ' റാലി നടത്തി.,0
പ്രധാനമന്ത്രി മോദി ഫോട്ടോ ഷൂട്ടിനായി കരകൗശല വിദഗ്ധരുമായി സംവദിക്കുന്നു.,2
മുന്‍ രാഷ്ട്രപതി രാംനാഥ് കോവിന്ദിന്റെ യാത്രയയപ്പ് ചടങ്ങില്‍ പ്രധാനമന്ത്രി മോദി അദ്ദേഹത്തിന്റെ ആശംസകള്‍ അവഗണിച്ചു.,0
കോണ്‍ഗ്രസ് ഭരണകാലത്ത് സോണിയ ഗാന്ധി ലോകത്തെ സമ്പന്നരുടെ പട്ടികയില്‍ നാലാം സ്ഥാനത്തെത്തിയിരുന്നു. മോദി സര്‍ക്കാര്‍ വന്നപ്പോള്‍ ഇന്ത്യ ലോകത്തെ നാലാമത്ത ശക്തമായ രാഷ്ട്രമായി.,2
കാശ്മീരിലെ മച്ചില്‍ എന്‍കൗണ്ടറില്‍ അവസാനം മോദി സര്‍ക്കാരിന്റെ ഇടപെടല്‍. ജീവപര്യന്തത്തിന് ശിക്ഷിച്ച അഞ്ച് സൈനികരെ മോചിപ്പിക്കാനുള്ള തീരുമാനം മോദി സര്‍ക്കാര്‍ എടുത്തു.,2
പാകിസ്ഥാനില്‍ നിന്ന് രാജസ്ഥാനിലേക്ക്‌ അഭയം തേടി വന്ന പാകിസ്ഥാനി ഹിന്ദുക്കളുമായി പ്രധാനമന്ത്രി നരേന്ദ്ര മോദി സംസാരിക്കുന്ന ചിത്രം.,0
പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയുടെ ബംഗാൾ പര്യടനത്തിന് ശേഷം രോക്ഷാകുലയായ ബംഗാൾ മുഖ്യമന്ത്രി മമത ബാനർജി.,0
വിഴിഞ്ഞത്തേക്കാൾ വലിയ തുറമുഖം തൃശ്ശൂരിൽ യാഥാർത്ഥ്യമാക്കുമെന്ന് സുരേഷ് ഗോപി,3
തൃശ്ശൂർ പൊലീസ് കമ്മീഷണറെ സ്ഥലം മാറ്റിയത് സുരേഷ് ഗോപി.,3
തൃശൂര്‍ എംപി ടിഎന്‍ പ്രതാപന്‍ അഞ്ച് വര്‍ഷത്തിനിടെ ചെലവഴിച്ചത് 30 ലക്ഷം രൂപ മാത്രം.,1
തൃശൂര്‍ ശോഭാസിറ്റി മാളിനു വേണ്ടി കെ-റെയില്‍ റൂട്ട് മാപ്പില്‍ മാറ്റം വരുത്തി.,2
പിണറായി സർക്കാരിന് കീഴിൽ പണികഴിപ്പിച്ച തൃശൂർ മണ്ണുത്തി മേൽപ്പാലത്തിന്റെ ശോചനീയമായ അവസ്ഥ,0
കെകെ ശൈലജ ന്യൂനപക്ഷ വർഗീയതയെ കുറിച്ച് സംസാരിക്കുമ്പോൾ വാക്കുകൾ നിയന്ത്രിക്കണമെന്ന് സ്പീക്കർ എഎൻ ഷംസീർ ആവശ്യപ്പെടുന്നു.,2
കുംഭമേളയെ വിമര്‍ശിച്ച് വാര്‍ത്ത നല്‍കിയ മാധ്യമപ്രവര്‍ത്തക പ്രാഗ്യ മിശ്രയെ കൊലപ്പെടുത്തി,0
"സൗജന്യ ഭക്ഷ്യകിറ്റ് സർക്കാരിന് ബാധ്യത, അടുത്ത സർക്കാരിന് ഇത് തുടരാനാകില്ല എന്ന് എൽ.ഡി.എഫ്‌ കൺവീനർ എ. വിജയരാഘവൻ പറഞ്ഞതായി ഏഷ്യാനെറ്റ്‌ ന്യൂസ്‌ റിപ്പോർട്ട്‌.",2
ആര്‍എസ്എസ് ഗണവേഷം ധരിപ്പിച്ച് കേരളത്തിലെ ഒരു കടയുടെ മുന്നില്‍ സ്ഥാപിച്ച പ്രതിമ.,2
കേരളാ പൊലീസ് പുറത്തുവിട്ട നടന്‍ സിദ്ദിഖിന്റെ രേഖാചിത്രം.,0
വയനാട് ദുരന്തബാധിതരുടെ കടം എഴുതിത്തള്ളുമെന്ന പ്രഖ്യാപിച്ച കേരള ബാങ്കിന് ചൂരല്‍മലയില്‍ ശാഖ പോലുമില്ല.,2
സംസ്ഥാനത്ത് ഗ്യാസ് സിലിണ്ടറിന് 55% ജിഎസ്ടി ഈടാക്കുന്നുണ്ട്.,1
മാസ്‌ക്കിങ് ടേപ്പ് ഉപയോഗിച്ച് റോഡിലെ വിള്ളല്‍ അടയ്ക്കുന്ന കേരളത്തിലെ പൊതുമരാമത്ത് വകുപ്പ് ഉദ്യോഗസ്ഥര്‍.,2
എല്ലാ മാസവും വൈദ്യുതി നിരക്ക് വര്‍ധിപ്പിക്കാനുള്ള തീരുമാനവുമായി കേരള സര്‍ക്കാര്‍.,2
"പിഎംഎവൈ പദ്ധതി പ്രകാരം കേന്ദ്രം 1,07306 വീടുകള്‍ അനുവദിച്ചെങ്കിലും കേരളം നിര്‍മിച്ചത് വെറും 12,079 വീടുകള്‍ മാത്രം.",0
വന്ദേ ഭാരത് ട്രയിനുകള്‍ കേരളത്തിന് അനുവദിച്ചാല്‍ കെ റെയില്‍ ഒഴിവാക്കുന്നതില്‍ പ്രശ്‌നമില്ലെന്ന് ധനമന്ത്രി കെഎന്‍ ബാലഗോപാല്‍,2
ക്രിസ്തുമസ് ആഘോഷവുമായി ബന്ധപ്പെട്ട് കേരളാ പോലീസ് നിയന്ത്രണങ്ങൾ ഏർപ്പെടുത്തി.,3
തമിഴ്‌നാട്ടില്‍ നിന്നുള്ള കവര്‍ച്ചാ 75 അംഗ കവര്‍ച്ചാ സംഘം കേരളത്തിലേക്ക് കടന്നു. ജനങ്ങള്‍ ജാഗ്രത പാലിക്കണമെന്ന് കേരള പൊലീസ്.,2
കേരള സര്‍ക്കാര്‍ പന്നിവളര്‍ത്തല്‍ നിരോധിച്ചു.,2
കേന്ദ്ര സര്‍ക്കാര്‍ നല്‍കുന്ന ആയുഷ്മാന്‍ ഭാരത് ഇന്‍ഷുറന്‍സ് പദ്ധതിക്കായി കേരളത്തില്‍ അപേക്ഷകരെ വിളിച്ചു. സര്‍ക്കാര്‍ ആശുപത്രികളിലെത്തി 1324 രൂപ നല്‍കിയാല്‍ പദ്ധതിയില്‍ ചേരാം.,0
നഗ്ന ചിത്രം മോര്‍ഫ് ചെയ്ത് പ്രചരിപ്പിച്ചതിന് സ്ത്രീകളുടെ ആക്രമണത്തിന് ഇരയായ സിപിഎം മുന്‍ ബ്രാഞ്ച് സെക്രട്ടറിയും മകനും.,2
കോഴിക്കോട് കല്ലാച്ചിയില്‍ നാടോടി സ്ത്രീയുടെ കൈയ്യില്‍ അവര്‍ തട്ടിയെടുത്ത പിഞ്ചു കുഞ്ഞിനെ കണ്ടെത്തി,1
ഉത്തര്‍ പ്രദേശില്‍ ഒരു സ്ത്രീ എല്ലാ ആഴ്ചയും കുട്ടിക്ക് ജന്മം കൊടുക്കുന്നെന്ന് രാഹുല്‍ ഗാന്ധി.,0
മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസ നിധിയിലേക്ക് പണം നല്‍കില്ലെന്ന് നടന്‍ മമ്മൂട്ടി.,0
"മുഖ്യമന്ത്രിയുടെ ദുരിതാശ്വാസ നിധി തട്ടിപ്പാണ്, മന്ത്രിമാരും നേതാക്കളും പോലും ഇതിലേക്ക് പണം നല്‍കുന്നില്ല.",2
തെരഞ്ഞെടുപ്പ് പ്രചാരണത്തിനിടെ സുരേഷ് ഗോപി വോട്ടര്‍ക്ക് പണം നല്‍കുന്നു.,0
യെമന്‍ ജയിലില്‍ കഴിയുന്ന നിമിഷ പ്രിയയുടെ മോചനത്തിന് പണം സ്വരൂപിക്കാത്തത് മുസ്ലീം അല്ലാത്തതിനാല്‍.,0
ശബരിമലയിലെ വരുമാനം കൊണ്ട് സര്‍ക്കാര്‍ ട്രഷറി നിയന്ത്രണം പിന്‍വലിച്ചു.,2
18 യൂണിറ്റ് വൈദ്യുതി മാത്രം ഉപയോഗിച്ചിട്ടും ഗൃഹജ്യോതി പദ്ധതിയുടെ പ്രയോജനം ലഭിക്കാതെ പണം അടയ്‌ക്കേണ്ടി വന്ന കര്‍ണാടകയിലെ വൈദ്യുതി ഉപഭോക്താവ്.,2
പ്ലാസ്റ്റിക് ശേഖരണത്തിനെത്തുന്ന ഹരിതകര്‍മ സേനയ്ക്ക് യൂസര്‍ഫീ ഈടാക്കാന്‍ നിയമപ്രകാരം അര്‍ഹതയില്ല.,0
സ്‌കൂള്‍ ഉച്ചഭക്ഷണത്തിനായുള്ള പണം ഇനി വിദ്യാര്‍ഥികളുടെ അക്കൗണ്ടിലെത്തിക്കാന്‍ കേന്ദ്ര സര്‍ക്കാര്‍ തീരുമാനം.,2
ന്യൂയോര്‍ക്കില്‍ കോവിഡ് ബാധിച്ച് മരിച്ചയാളുടെ പണം അദ്ദേഹത്തിന്റെ സുഹൃത്ത് എറിഞ്ഞുകളയുന്നു,0
യുഎസ് പാര്‍ലിമെന്റ് മന്ദിരമായ ക്യാപിറ്റോള്‍ ഹില്ലിന് മുന്നില്‍ ഒരു വലിയ ജനക്കൂട്ടം നമസ്‌കാരം ചെയ്യുന്നു,0
മണ്ണൂരിലെ കോണ്‍ഗ്രസ് മണ്ഡലം കമ്മറ്റി ഓഫിസ് ബിജെപിയുമായി ലയിച്ചു.,0
"ഓടിക്കൊണ്ടിരിക്കുന്ന ബസില്‍ വെള്ളം കയറുന്നു, റൂ ഫോര്‍ റിവര്‍ പദ്ധതി നടപ്പാക്കാന്‍ പദ്ധതിയിട്ട കേരളത്തില്‍ നിന്നുള്ളതാണ് വീഡിയോ.",0
എഫ്‌സിഐ ഗോഡൗണില്‍ ധാന്യങ്ങള്‍ നശിക്കുന്നതിന് വേണ്ടി വെള്ളം തളിക്കുന്നു. സ്വാകാര്യ കമ്പനികള്‍ക്ക് ഇവ മറിച്ച് വിറ്റ് കമ്മിഷന്‍ നേടാനുള്ള ഉദ്യോഗസ്ഥരുടെ തന്ത്രമാണിത്.,0
വെള്ളം കയറിയ പാലാ ബിഷപ്പ് ഹൗസ് വൃത്തിയാക്കുന്ന മു്സ്ലീം സന്നദ്ധപ്രവര്‍ത്തകര്‍.,0
ഭാരത് മാതാ കീ ജയ് മുദ്രാവാക്യം മുഴക്കിയ ഹിന്ദു എംഎൽഎമാരെ ജമ്മു-കാശ്മീർ നിയമസഭയിൽ നിന്നും പുറത്താക്കി.,0
ഇന്ന് മുംബൈയില്‍ ട്രാഫിക് പൊലീസിനെ മുസ്ലീങ്ങള്‍ ആക്രമിക്കുന്ന ദൃശ്യം.,1
കോൺഗ്രസിലെത്തിയ സന്ദീപ് വാര്യരെ വിമർശിക്കുന്ന യൂത്ത് ലീഗ് നേതാവ് പികെ ഫിറോസിന്റെ പ്രസംഗം.,4
നടൻ നസറുദ്ദീൻ ഷായുടെ മകൾ പശ്ചിമ ബംഗാളിൽ സിപിഎം സ്ഥാനാർത്ഥി.,0
കൊടിയുമേന്തി വരേണ്ട എന്ന കോണ്‍ഗ്രസ് നിര്‍ദ്ദേശത്തെ തുടര്‍ന്ന് മുസ്ലീം ലീഗ് ഭാരത് ജോഡോ യാത്രയില്‍ നിന്ന് വിട്ടു നിന്നു.,0
അന്താരാഷ്ട്ര നീതിന്യായ കോടതിയുടെ ചീഫ് ജസ്റ്റിസ്സായി മുന്‍ ഇന്ത്യന്‍ സുപ്രീം കോടതി ജഡ്ജ് ദല്‍വീര്‍ ഭണ്ഡാരി തിരഞ്ഞെടുക്കപ്പെട്ടു.,0
ആയുഷ്മാന്‍ ഭാരത് ഹെല്‍ത്ത് കാര്‍ഡിന് 5 ലക്ഷം രൂപയുടെ ആരോഗ്യ പരിരക്ഷ ലഭിക്കും.,0
കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ഓഫ് ഇന്ത്യ മാർക്സിസ്റ്റിന് ദേശീയ പാർട്ടി പദവി നഷ്ടമായി.,3
കുട്ടികളെ തട്ടിക്കൊണ്ടുപോകാന്‍ നോര്‍ത്ത് ഇന്ത്യയില്‍ നിന്ന് കേരളത്തില്‍ എത്തിയസംഘം.,0
